Orignal Query,Modified Query,CQ Template 1,CQ Template 2,CQ Template 3,CQ Template 4,CQ Template 5
abstraction java,abstraction in java,T1,,,,
abstraction java,abstraction java,T1,,,,
abstraction java,abstraction java annotations,T1,,,,
abstraction java,abstraction java class,T1,,,,
abstraction java,abstraction java framework,T1,,,,
abstraction java,abstraction java implementation,T1,,,,
abstraction java,abstraction java interface,T1,,,,
abstraction java,abstraction java method,T1,,,,
abstraction java,abstraction java object,T1,,,,
abstraction java,abstraction java oop,T1,,,,
abstraction java,abstraction java syntax,T1,,,,
abstraction java,abstraction java thread,T1,,,,
abstraction java,abstraction java variable,T1,,,,
abstraction java,encapsulation in java,T1,,,,
abstraction java,encapsulation java,T1,,,,
abstraction java,encapsulation java oop,T1,,,,
abstraction java,inheritance in java,T1,,,,
abstraction java,inheritance java,T1,,,,
apt install java,apt get install java,T6,T8,T10,T14,
apt install java,apt get uninstall java,T6,T8,T10,T14,
apt install java,apt install java,T6,T8,T10,T14,
apt install java,apt install java command,T6,T8,T10,T14,
apt install java,apt install java console,T6,T8,T10,T14,
apt install java,apt install java make,T6,T8,T10,T14,
apt install java,apt install java tar,T6,T8,T10,T14,
apt install java,apt install java terminal,T6,T8,T10,T14,
apt install java,apt install java upgrade,T6,T8,T10,T14,
apt install java,apt uninstall java,T6,T8,T10,T14,
apt install java,apt update java,T6,T8,T10,T14,
apt install java,apt upgrade java,T6,T8,T10,T14,
apt install java,brew install java,T6,T8,T10,T14,
apt install java,brew install java command,T6,T8,T10,T14,
apt install java,brew install java console,T6,T8,T10,T14,
apt install java,brew install java jdk,T6,T8,T10,T14,
apt install java,brew install java make,T6,T8,T10,T14,
apt install java,brew install java tar,T6,T8,T10,T14,
apt install java,brew install java terminal,T6,T8,T10,T14,
apt install java,brew install java upgrade,T6,T8,T10,T14,
apt install java,cat apt install java,T6,T8,T10,T14,
apt install java,echo apt install java,T6,T8,T10,T14,
apt install java,echo brew install java,T6,T8,T10,T14,
apt install java,package apt install java,T6,T8,T10,T14,
apt install java,package brew install java,T6,T8,T10,T14,
apt install java,pkg apt install java,T6,T8,T10,T14,
apt install java,pkg brew install java,T6,T8,T10,T14,
apt install java,rm apt install java,T6,T8,T10,T14,
apt install java,sh apt install java,T6,T8,T10,T14,
apt install java,sudo apt get install java,T6,T8,T10,T14,
apt install java,sudo apt install java,T6,T8,T10,T14,
